,ID,cidade,estado,lat,long
2379,23018,Antelope,CA,38.7152,-121.3561
2380,23027,Reseda,CA,34.2007,-118.5404
2381,23036,Windsor,CA,38.5439,-122.8106
2382,23040,Bakersfield,CA,35.3879,-119.0236
2383,23041,Folsom,CA,38.6645,-121.145
2384,23047,Menifee,CA,33.6575,-117.1891
2385,23049,La Mesa,CA,32.7601,-116.9993
2386,23074,Atwater,CA,37.2931,-120.646
2387,23076,Fullerton,CA,33.8768,-117.8931
2388,23094,Oroville,CA,39.651,-121.6443
2389,23095,Arroyo Grande,CA,35.156,-120.3652
2390,23110,Fair Oaks,CA,38.6496,-121.2541
2391,23121,Wildomar,CA,33.6217,-117.2598
2392,23145,Fresno,CA,36.8424,-119.8031
2393,23159,Orangevale,CA,38.6844,-121.2252
2394,23160,Orangevale,CA,38.6844,-121.2252
2395,23165,Fullerton,CA,33.8768,-117.8931
2396,23168,Fontana,CA,34.06,-117.44
2397,23179,Garden Grove,CA,33.7886,-117.9277
2398,23180,Concord,CA,37.9536,-122.0219
2399,23181,Pinion Hills,CA,32.7199,-117.1805
2400,23186,Hollister,CA,36.8956,-121.1837
2401,23196,Elverta,CA,38.7402,-121.4595
2402,23199,Anaheim,CA,33.8478,-117.9573
2403,23205,Sonoma,CA,38.2455,-122.4621
2404,23215,Corona,CA,33.8754,-117.5659
2405,23219,Garden Grove,CA,33.7886,-117.9277
2406,23257,Coto de Caza,CA,32.7199,-117.1805
2407,23258,Toluca Lake,CA,34.1722,-118.3782
2408,23276,Pomona,CA,34.039,-117.7608
2409,23278,San Bernardino,CA,34.104,-117.2925
2410,23279,Redlands,CA,33.9991,-117.149
2411,23281,Carson,CA,33.8262,-118.2589
2412,23282,Pilot hill,CA,32.7199,-117.1805
2413,23295,Vista,CA,33.1631,-117.2475
2414,23297,Simi Valley,CA,34.2707,-118.7905
2415,23312,Walnut Creek,CA,37.87,-122.0705
2416,23317,Turlock,CA,37.4779,-120.8607
2417,23328,Modesto,CA,37.6677,-121.0148
2418,23333,Turlock,CA,37.4779,-120.8607
2419,23334,Turlock,CA,37.4779,-120.8607
2420,23335,Napa,CA,38.5297,-122.2795
2421,23338,Laytonville,CA,39.7476,-123.4821
2422,23346,Temecula,CA,33.4939,-117.1475
2423,23358,Modesto,CA,37.6677,-121.0148
2424,23371,Mira Loma,CA,33.9895,-117.5316
2425,23381,Sacramento,CA,38.5819,-121.4935
2426,23437,El Cajon,CA,32.7797,-116.8775
2427,23438,Fresno,CA,36.8424,-119.8031
2428,23441,El Cajon,CA,32.7797,-116.8775
2429,23452,Milpitas,CA,37.422,-121.8166
