,cidade,estado,formato,data,hora,dia_semana,dia,mes
282,Niceville,FL,Sphere,8/5/17,21:10,Sábado,5,8
283,Auburn,WA,Circle,8/5/17,19:45,Sábado,5,8
284,Woodbridge,NJ,Sphere,8/5/17,18:35,Sábado,5,8
285,Norwalk/Darien,CT,Sphere,8/5/17,17:00,Sábado,5,8
286,Wildwood,NJ,Fireball,8/5/17,03:19,Sábado,5,8
287,Norfolk,VA,Fireball,8/5/17,00:00,Sábado,5,8
288,Portland,OR,Fireball,8/4/17,23:49,Sexta-feira,4,8
289,Kalispell,MT,Diamond,8/4/17,23:00,Sexta-feira,4,8
290,Rosemount,MN,Other,8/4/17,22:30,Sexta-feira,4,8
291,Louisville,KY,Circle,8/4/17,22:00,Sexta-feira,4,8
292,Indio,CA,Sphere,8/4/17,22:00,Sexta-feira,4,8
293,Ocean City,MD,Fireball,8/4/17,22:00,Sexta-feira,4,8
294,Ogden,UT,Flash,8/4/17,21:45,Sexta-feira,4,8
295,Portland,OR,Circle,8/4/17,21:40,Sexta-feira,4,8
296,Howard,SD,Light,8/4/17,21:15,Sexta-feira,4,8
297,Phoenix,AZ,Flash,8/4/17,21:15,Sexta-feira,4,8
298,Greensboro,NC,Sphere,8/4/17,21:00,Sexta-feira,4,8
299,Rotterdam,NY,Light,8/4/17,20:00,Sexta-feira,4,8
300,Las Cruces,NM,Sphere,8/4/17,07:48,Sexta-feira,4,8
301,Martin,MI,Cylinder,8/4/17,01:00,Sexta-feira,4,8
302,New York City (Brooklyn),NY,Formation,8/4/17,00:00,Sexta-feira,4,8
303,Twin Falls,ID,Circle,8/3/17,23:10,Quinta-Feira,3,8
304,Newbury,OH,Circle,8/3/17,22:15,Quinta-Feira,3,8
305,Altoona,PA,Formation,8/3/17,22:15,Quinta-Feira,3,8
306,Riverdale,UT,Disk,8/3/17,09:00,Quinta-Feira,3,8
307,Lincoln,WA,Disk,8/2/17,23:55,Quarta-feira,2,8
308,Oakesdale,WA,Oval,8/2/17,23:43,Quarta-feira,2,8
309,Oakesdale,WA,Oval,8/2/17,23:35,Quarta-feira,2,8
310,San Bernardino,CA,Flash,8/2/17,23:30,Quarta-feira,2,8
311,Lewiston,ID,Sphere,8/2/17,23:06,Quarta-feira,2,8
312,Fall River,MA,Circle,8/2/17,22:40,Quarta-feira,2,8
313,Troy,NY,Other,8/2/17,22:30,Quarta-feira,2,8
314,Burke,ID,Triangle,8/2/17,22:00,Quarta-feira,2,8
315,Sun Valley,CA,Sphere,8/2/17,21:33,Quarta-feira,2,8
316,Silver City,NM,Other,8/1/17,23:30,Terça-feira,1,8
317,Viking,MN,Circle,8/1/17,22:45,Terça-feira,1,8
318,Rockford,IL,Light,8/1/17,22:00,Terça-feira,1,8
